,Symbol,Count,Count_Long,Count_Short,win,win_long,win_short,PnL_ratio_mean,PnL_ratio_long_mean,PnL_ratio_short_mean,TP_Touches,TP_Touches_long,TP_Touches_short,Len_of_traded_days
551,APLE,4,1,3,0.5,1.0,0.3333333333333333,0.006581526691881268,0.038197548335856216,-0.003957147189443713,0.0,0.0,0.0,4
552,BXMT,1,0,1,0.0,,0.0,-0.032130337787967145,,-0.032130337787967145,0.0,,0.0,8
553,ITRI,13,1,12,0.46153846153846156,0.0,0.5,0.0004272588479240872,-0.013353279277161921,0.0015756370250145871,0.0,0.0,0.0,21
554,IRT,1,1,0,1.0,1.0,,0.05492435116650605,0.05492435116650605,,0.0,0.0,,2
555,BKH,5,5,0,0.6,0.6,,0.01290626201844181,0.01290626201844181,,0.0,0.0,,0
556,KTB,15,7,8,0.5333333333333333,0.5714285714285714,0.5,0.019173005845332998,0.027425320911120647,0.011952230162768807,0.0,0.0,0.0,11
557,ESGR,2,2,0,0.5,0.5,,0.001772327259146722,0.001772327259146722,,0.0,0.0,,3
558,CSWI,1,1,0,1.0,1.0,,0.004324071021835074,0.004324071021835074,,0.0,0.0,,4
559,ACIW,11,1,10,0.6363636363636364,1.0,0.6,0.012166313768739489,0.04124994152953443,0.009257950992659993,0.0,0.0,0.0,5
560,PBH,6,6,0,0.6666666666666666,0.6666666666666666,,0.005591583281354436,0.005591583281354436,,0.0,0.0,,11
561,NPO,5,4,1,0.6,0.75,0.0,0.0174935466236623,0.029128077391327844,-0.02904457644699987,0.0,0.0,0.0,5
562,EVH,16,7,9,0.375,0.42857142857142855,0.3333333333333333,-0.01035587626797476,0.000956929243830065,-0.019154724999378515,0.0,0.0,0.0,38
563,TPH,3,1,2,0.3333333333333333,0.0,0.5,-0.005839162321894434,-0.0026398814386135337,-0.007438802763534884,0.0,0.0,0.0,5
564,SANM,8,8,0,0.625,0.625,,0.0006863798930117687,0.0006863798930117687,,0.0,0.0,,17
565,AMKR,15,4,11,0.4666666666666667,0.5,0.45454545454545453,-0.01775542134861676,-0.02037052766985233,-0.016804473595440197,0.0,0.0,0.0,31
566,GT,19,10,9,0.5789473684210527,0.6,0.5555555555555556,0.012483947708694867,0.021811115652894127,0.0021204277706956967,0.0,0.0,0.0,23
567,MC,10,6,4,0.4,0.6666666666666666,0.0,-0.005876561393316767,0.017674651419910755,-0.04120338061315805,0.0,0.0,0.0,12
568,ARWR,48,25,23,0.5208333333333334,0.68,0.34782608695652173,0.003287675523417522,0.03253465388048627,-0.028502518342961542,0.0,0.0,0.0,50
569,ARCB,17,5,12,0.4117647058823529,0.6,0.3333333333333333,0.005872321292788735,0.04643220426636523,-0.011027629946201474,0.0,0.0,0.0,32
570,BL,15,5,10,0.4666666666666667,0.6,0.4,0.002097897489428379,-0.004508476061422166,0.005401084264853652,0.0,0.0,0.0,19
